params,mean_rmse,std_rmse,scores
"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.9, 'colsample_bytree': 0.8, 'n_estimators': 100, 'gamma': 0, 'objective': 'reg:squarederror', 'random_state': 42, 'n_jobs': -1}",69.83777653965583,0.7257017000258624,[71.16667796 69.19090603 69.78554817 69.17092292 69.87482762]
"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.9, 'colsample_bytree': 0.8, 'n_estimators': 100, 'gamma': 0.1, 'objective': 'reg:squarederror', 'random_state': 42, 'n_jobs': -1}",69.83777653965583,0.7257017000258624,[71.16667796 69.19090603 69.78554817 69.17092292 69.87482762]
"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.9, 'colsample_bytree': 0.8, 'n_estimators': 100, 'gamma': 0.2, 'objective': 'reg:squarederror', 'random_state': 42, 'n_jobs': -1}",69.83777653965583,0.7257017000258624,[71.16667796 69.19090603 69.78554817 69.17092292 69.87482762]
"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.9, 'colsample_bytree': 0.8, 'n_estimators': 200, 'gamma': 0, 'objective': 'reg:squarederror', 'random_state': 42, 'n_jobs': -1}",63.41313587200032,0.72091310155737,[64.75085739 62.9605927  63.5446391  62.71748452 63.09210565]
"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.9, 'colsample_bytree': 0.8, 'n_estimators': 200, 'gamma': 0.1, 'objective': 'reg:squarederror', 'random_state': 42, 'n_jobs': -1}",63.41313587200032,0.72091310155737,[64.75085739 62.9605927  63.5446391  62.71748452 63.09210565]
"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.9, 'colsample_bytree': 0.8, 'n_estimators': 200, 'gamma': 0.2, 'objective': 'reg:squarederror', 'random_state': 42, 'n_jobs': -1}",63.41313587200032,0.72091310155737,[64.75085739 62.9605927  63.5446391  62.71748452 63.09210565]
"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.9, 'colsample_bytree': 0.8, 'n_estimators': 300, 'gamma': 0, 'objective': 'reg:squarederror', 'random_state': 42, 'n_jobs': -1}",59.16379529208846,0.7394768815316503,[60.62275394 58.9196759  58.94602978 58.63809362 58.69242323]
"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.9, 'colsample_bytree': 0.8, 'n_estimators': 300, 'gamma': 0.1, 'objective': 'reg:squarederror', 'random_state': 42, 'n_jobs': -1}",59.16379529208846,0.7394768815316503,[60.62275394 58.9196759  58.94602978 58.63809362 58.69242323]
"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.9, 'colsample_bytree': 0.8, 'n_estimators': 300, 'gamma': 0.2, 'objective': 'reg:squarederror', 'random_state': 42, 'n_jobs': -1}",59.16379529208846,0.7394768815316503,[60.62275394 58.9196759  58.94602978 58.63809362 58.69242323]
"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.9, 'colsample_bytree': 0.9, 'n_estimators': 100, 'gamma': 0, 'objective': 'reg:squarederror', 'random_state': 42, 'n_jobs': -1}",69.22335077689924,0.6823067840156384,[70.47819506 68.53059601 69.13111354 68.71068276 69.26616651]
